epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.377,1.25461,3.02868,1.70569,0.61927,0.72502,0.7456,0.60684,0.70436,1.76326,1.27117,0.000473952,0.000473952,0.000473952
2,552.292,0.77398,1.27648,1.32712,0.88262,0.75562,0.86058,0.67818,0.75794,1.19523,1.27305,0.000934605,0.000934605,0.000934605
3,754.232,0.63997,0.84116,1.24377,0.95545,0.9588,0.97731,0.7454,0.81124,0.78761,1.22088,0.00137954,0.00137954,0.00137954
4,897.041,0.64619,0.66168,1.24456,0.9631,0.94717,0.97471,0.79682,0.79214,0.71889,1.1741,0.00135826,0.00135826,0.00135826
5,1037.63,0.5887,0.58289,1.22996,0.93815,0.96204,0.96637,0.82347,0.64356,0.60649,1.17908,0.00133469,0.00133469,0.00133469
6,1179.13,0.54436,0.52962,1.18109,0.93297,0.96414,0.97045,0.83882,0.68874,0.54565,1.18632,0.00131111,0.00131111,0.00131111
7,1320.99,0.51951,0.48401,1.18908,0.93503,0.94903,0.97494,0.85419,0.69307,0.5055,1.1878,0.00128753,0.00128753,0.00128753
8,1463.03,0.51405,0.49621,1.19249,0.96699,0.96836,0.9776,0.82924,0.70492,0.50432,1.17224,0.00126395,0.00126395,0.00126395
9,1602.98,0.50163,0.46396,1.15539,0.94599,0.95994,0.98601,0.86601,0.65731,0.47746,1.18198,0.00124037,0.00124037,0.00124037
10,1742.95,0.48537,0.45677,1.15636,0.93795,0.95207,0.98152,0.85052,0.64196,0.47715,1.13052,0.00121679,0.00121679,0.00121679
11,1883.92,0.46658,0.44771,1.15268,0.95289,0.9566,0.98541,0.85037,0.65004,0.4578,1.19301,0.00119322,0.00119322,0.00119322
12,2023.96,0.47097,0.42448,1.15847,0.94195,0.98895,0.98348,0.8587,0.72728,0.44252,1.21123,0.00116964,0.00116964,0.00116964
13,2165.02,0.51172,0.43679,1.21832,0.95647,0.96958,0.97589,0.85007,0.72813,0.45615,1.20155,0.00114606,0.00114606,0.00114606
14,2304.83,0.46631,0.41285,1.15008,0.96271,0.96561,0.97403,0.84633,0.66134,0.43497,1.18388,0.00112248,0.00112248,0.00112248
