epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6524,2.19901,3.55534,2.87348,0.18482,0.04425,0.38835,0.06101,0.02781,1.56825,3.05662,2.10325,0.13629,0.000464425,0.000464425,0.000464425
2,69.3658,1.65232,2.68396,2.25767,0.12918,0.66885,0.13592,0.1598,0.11042,1.30321,2.70554,1.82143,0.13212,0.000936102,0.000936102,0.000936102
3,75.3021,1.55039,2.1824,1.98443,0.14381,0.87036,0.27184,0.34102,0.21165,1.57716,2.69896,2.01183,0.13821,0.00140306,0.00140306,0.00140306
4,80.8616,1.48013,1.87252,1.84908,0.11969,0.55153,0.45168,0.51534,0.34919,1.16873,1.61584,1.77963,0.08645,0.00140778,0.00140778,0.00140778
5,86.5779,1.27962,1.552,1.7594,0.12545,0.53819,0.50993,0.51396,0.37955,1.14033,1.55857,1.76531,0.0951,0.00140071,0.00140071,0.00140071
6,92.4003,1.20696,1.37184,1.72741,0.10909,0.50021,0.55207,0.51536,0.37294,1.21063,1.44958,1.74896,0.09822,0.00139363,0.00139363,0.00139363
7,97.7311,1.14852,1.23986,1.62748,0.08737,0.98279,0.42718,0.47969,0.35846,1.16171,1.56117,1.65875,0.07028,0.00138656,0.00138656,0.00138656
8,103.666,1.06911,1.1415,1.66714,0.06413,0.49733,0.48389,0.50444,0.38955,0.97368,1.20045,1.52862,0.10893,0.00137949,0.00137949,0.00137949
9,111.99,1.03467,1.04752,1.59133,0.06568,0.45741,0.54391,0.49858,0.37371,1.06097,1.17968,1.61999,0.09781,0.00137241,0.00137241,0.00137241
10,117.38,1.03385,1.03619,1.64277,0.06545,0.49172,0.49691,0.4987,0.39922,1.0636,1.20493,1.69661,0.08293,0.00136534,0.00136534,0.00136534
11,123.69,0.92376,0.9656,1.55347,0.05444,0.47636,0.4872,0.49434,0.39672,0.96954,1.03727,1.56732,0.06939,0.00135826,0.00135826,0.00135826
12,129.401,0.97635,0.92942,1.58344,0.04225,0.56055,0.47264,0.49858,0.38757,1.0782,1.02933,1.66864,0.07106,0.00135119,0.00135119,0.00135119
13,136.274,0.9411,0.92648,1.52437,0.04325,0.56714,0.47264,0.49837,0.41237,0.90071,0.926,1.54388,0.06512,0.00134412,0.00134412,0.00134412
