epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
14,143.435,0.89915,0.8989,1.49908,0.04536,0.59761,0.47264,0.4969,0.3951,0.96257,1.0163,1.50544,0.06124,0.00133704,0.00133704,0.00133704
15,150.742,0.88341,0.86362,1.50871,0.04003,0.65373,0.47264,0.50424,0.40584,0.92591,1.03735,1.48168,0.06034,0.00132997,0.00132997,0.00132997
16,157.417,0.77297,0.76961,1.38974,0.03652,0.66094,0.4768,0.5121,0.4277,0.90084,1.02647,1.53114,0.06202,0.0013229,0.0013229,0.0013229
17,164.96,0.80627,0.76056,1.44284,0.03935,0.65416,0.47502,0.52265,0.42382,0.92247,1.03096,1.52263,0.06588,0.00131582,0.00131582,0.00131582
18,171.074,0.76986,0.74556,1.44572,0.03281,0.93509,0.47264,0.54138,0.44297,0.84392,1.05554,1.45613,0.07098,0.00130875,0.00130875,0.00130875
19,177.34,0.76741,0.73444,1.37919,0.03571,0.94132,0.47656,0.54526,0.45255,0.80492,1.08098,1.40542,0.07581,0.00130168,0.00130168,0.00130168
20,183.745,0.71669,0.71417,1.34967,0.02876,0.93696,0.47442,0.5393,0.47518,0.81395,0.93869,1.45423,0.06533,0.0012946,0.0012946,0.0012946
21,189.194,0.71903,0.6947,1.35958,0.03225,0.95311,0.47404,0.53972,0.46861,0.78674,0.92412,1.41285,0.06245,0.00128753,0.00128753,0.00128753
22,194.766,0.73547,0.67331,1.35074,0.02957,0.96537,0.47264,0.54448,0.46659,0.74726,0.93371,1.35489,0.06378,0.00128046,0.00128046,0.00128046
23,201.088,0.73299,0.67955,1.3521,0.03639,0.92968,0.49872,0.55428,0.46786,0.76524,0.89069,1.36343,0.05859,0.00127338,0.00127338,0.00127338
24,207.647,0.70721,0.66208,1.35038,0.0292,0.74707,0.47264,0.53889,0.46613,0.78535,0.8292,1.40162,0.06619,0.00126631,0.00126631,0.00126631
25,213.094,0.67462,0.61397,1.33272,0.03013,0.64441,0.47264,0.53406,0.4648,0.79032,0.78445,1.43299,0.06415,0.00125923,0.00125923,0.00125923
26,220.386,0.65415,0.60011,1.3019,0.02797,0.60798,0.47348,0.53504,0.47482,0.73395,0.80527,1.38948,0.05763,0.00125216,0.00125216,0.00125216
27,226.758,0.69074,0.61387,1.32866,0.03194,0.56331,0.48235,0.51051,0.45333,0.70477,0.85556,1.33385,0.0535,0.00124509,0.00124509,0.00124509
28,232.693,0.65358,0.58326,1.31418,0.02733,0.52825,0.49206,0.50632,0.45008,0.65475,0.88149,1.28482,0.05003,0.00123801,0.00123801,0.00123801
29,239.056,0.61253,0.54899,1.27872,0.02517,0.56946,0.4872,0.50981,0.44649,0.68267,0.87484,1.3202,0.05292,0.00123094,0.00123094,0.00123094
30,245.835,0.64104,0.55635,1.32723,0.02915,0.6664,0.47684,0.52948,0.44603,0.6776,0.91418,1.31944,0.05071,0.00122387,0.00122387,0.00122387
31,251.722,0.60756,0.53231,1.277,0.02969,0.78948,0.48235,0.53316,0.4514,0.66342,0.96198,1.30725,0.04976,0.00121679,0.00121679,0.00121679
32,259.397,0.61011,0.54616,1.3137,0.02976,0.95887,0.48235,0.54272,0.46381,0.63914,0.96827,1.26944,0.04307,0.00120972,0.00120972,0.00120972
33,265.205,0.59209,0.5239,1.26656,0.02382,0.96747,0.47673,0.55073,0.45699,0.65683,0.93117,1.27994,0.0492,0.00120265,0.00120265,0.00120265
34,272.066,0.59884,0.53957,1.27085,0.0256,0.96534,0.47641,0.54539,0.46557,0.67481,0.93028,1.29594,0.05332,0.00119557,0.00119557,0.00119557
35,279.925,0.56601,0.50114,1.24316,0.0241,0.96603,0.47749,0.54373,0.46271,0.66833,0.934,1.28715,0.05099,0.0011885,0.0011885,0.0011885
36,286.165,0.57926,0.50074,1.25583,0.02305,0.71314,0.48001,0.53262,0.4522,0.70527,0.89838,1.32461,0.05247,0.00118143,0.00118143,0.00118143
37,294.294,0.59412,0.51794,1.24506,0.0226,0.68744,0.49004,0.53001,0.45234,0.71443,0.9191,1.31099,0.05688,0.00117435,0.00117435,0.00117435
38,302.101,0.59635,0.51506,1.26346,0.02182,0.65294,0.49625,0.53306,0.46454,0.66748,0.946,1.27846,0.0609,0.00116728,0.00116728,0.00116728
39,308.44,0.58044,0.49633,1.2608,0.02296,0.66223,0.50177,0.53541,0.47067,0.688,0.93123,1.29025,0.06722,0.00116021,0.00116021,0.00116021
40,314.564,0.52463,0.48652,1.22542,0.01841,0.55015,0.5342,0.54225,0.46718,0.68443,0.90944,1.32384,0.05655,0.00115313,0.00115313,0.00115313
41,321.804,0.55368,0.49578,1.24751,0.01882,0.55048,0.5342,0.54012,0.47108,0.69726,0.88071,1.31709,0.05096,0.00114606,0.00114606,0.00114606
42,327.737,0.57833,0.50416,1.26335,0.02371,0.55339,0.53298,0.54017,0.46973,0.69132,0.84842,1.29421,0.04635,0.00113898,0.00113898,0.00113898
43,333.276,0.53966,0.4817,1.21306,0.01951,0.55765,0.52778,0.53018,0.45602,0.72801,0.82162,1.32985,0.0519,0.00113191,0.00113191,0.00113191
44,339.427,0.57823,0.49671,1.27527,0.02006,0.56264,0.51964,0.52364,0.46767,0.71029,0.80565,1.33339,0.06124,0.00112484,0.00112484,0.00112484
45,346.978,0.5436,0.46375,1.23683,0.0219,0.59361,0.51964,0.52388,0.47179,0.68707,0.82889,1.31462,0.06121,0.00111776,0.00111776,0.00111776
46,355.3,0.5757,0.49195,1.25721,0.02023,0.58247,0.51964,0.52446,0.4684,0.67445,0.83991,1.29039,0.05634,0.00111069,0.00111069,0.00111069
47,360.674,0.55276,0.48325,1.21587,0.02034,0.58192,0.53025,0.52571,0.46258,0.67252,0.81381,1.28178,0.05671,0.00110362,0.00110362,0.00110362
48,366.208,0.52632,0.46296,1.19762,0.01741,0.72444,0.49691,0.54192,0.46442,0.70076,0.85654,1.31933,0.05503,0.00109654,0.00109654,0.00109654
49,372.471,0.50636,0.44602,1.20587,0.01558,0.60159,0.52971,0.54181,0.46479,0.70475,0.77614,1.34935,0.04945,0.00108947,0.00108947,0.00108947
50,378.922,0.48919,0.42906,1.17687,0.0153,0.64335,0.53364,0.54157,0.46824,0.70362,0.75549,1.34005,0.0528,0.0010824,0.0010824,0.0010824
51,386.53,0.5574,0.48296,1.22277,0.0214,0.69566,0.53744,0.54566,0.47518,0.69387,0.75501,1.33858,0.05568,0.00107532,0.00107532,0.00107532
52,392.894,0.48561,0.41782,1.17173,0.01591,0.71228,0.50738,0.55062,0.4738,0.67462,0.75649,1.30324,0.05163,0.00106825,0.00106825,0.00106825
53,399.586,0.51492,0.43896,1.1797,0.02253,0.68107,0.49913,0.54676,0.48424,0.69942,0.74237,1.33842,0.05036,0.00106118,0.00106118,0.00106118
54,405.627,0.53324,0.45374,1.21503,0.01825,0.69817,0.49742,0.54612,0.48304,0.69029,0.72792,1.334,0.05296,0.0010541,0.0010541,0.0010541
55,412.377,0.50113,0.43065,1.17099,0.01658,0.78507,0.49024,0.54273,0.49074,0.66817,0.74902,1.32259,0.05268,0.00104703,0.00104703,0.00104703
56,420.986,0.49744,0.42878,1.18668,0.01754,0.58133,0.5342,0.53222,0.47771,0.69456,0.67112,1.35727,0.05842,0.00103995,0.00103995,0.00103995
57,427.23,0.50925,0.43881,1.21421,0.01666,0.67615,0.5342,0.55017,0.4775,0.67651,0.69329,1.33065,0.06048,0.00103288,0.00103288,0.00103288
58,433.961,0.4868,0.42577,1.18031,0.0146,0.62241,0.5342,0.53381,0.45937,0.70202,0.68186,1.3506,0.06195,0.00102581,0.00102581,0.00102581
59,441.216,0.51414,0.44311,1.18687,0.01907,0.60007,0.5342,0.53572,0.46003,0.72102,0.62087,1.35314,0.05537,0.00101873,0.00101873,0.00101873
60,447.639,0.52169,0.44626,1.1818,0.01757,0.60209,0.52935,0.53507,0.46858,0.71337,0.60344,1.34454,0.05254,0.00101166,0.00101166,0.00101166
61,453.795,0.50748,0.42496,1.17935,0.01995,0.61637,0.52935,0.55773,0.4905,0.69105,0.66335,1.30903,0.05796,0.00100459,0.00100459,0.00100459
62,461.129,0.49023,0.4123,1.16001,0.01872,0.61459,0.52935,0.55108,0.4936,0.68407,0.66264,1.31954,0.05414,0.000997513,0.000997513,0.000997513
63,468.973,0.51164,0.43822,1.20299,0.01618,0.61283,0.52997,0.54102,0.48823,0.68657,0.63014,1.32316,0.05127,0.00099044,0.00099044,0.00099044
64,475.859,0.51928,0.42593,1.18869,0.01822,0.63019,0.5313,0.53231,0.48195,0.66022,0.62769,1.34866,0.04278,0.000983366,0.000983366,0.000983366
65,482.814,0.52607,0.43329,1.22898,0.01838,0.60932,0.53906,0.54945,0.49136,0.65748,0.66537,1.33513,0.04918,0.000976293,0.000976293,0.000976293
66,494.563,0.46497,0.40732,1.16322,0.01652,0.79592,0.49691,0.54463,0.48786,0.65814,0.62823,1.3253,0.04897,0.000969219,0.000969219,0.000969219
67,500.868,0.45528,0.39381,1.15621,0.01198,0.58119,0.56413,0.56048,0.49109,0.67346,0.63281,1.33709,0.04652,0.000962146,0.000962146,0.000962146
68,508.11,0.47422,0.40086,1.14704,0.01482,0.93053,0.49691,0.55638,0.49988,0.64507,0.78357,1.25716,0.05762,0.000955072,0.000955072,0.000955072
69,514.912,0.46001,0.38774,1.16128,0.01972,0.91482,0.49548,0.55483,0.50131,0.63484,0.80565,1.24645,0.05871,0.000947999,0.000947999,0.000947999
70,522.086,0.4989,0.42834,1.18158,0.01543,0.94998,0.49206,0.55632,0.49897,0.63066,0.8153,1.25076,0.05975,0.000940925,0.000940925,0.000940925
71,528.291,0.48199,0.41073,1.15139,0.01619,0.97447,0.49206,0.55388,0.49065,0.63018,0.83566,1.23825,0.05809,0.000933851,0.000933851,0.000933851
72,536.553,0.48312,0.40978,1.16559,0.01345,0.73378,0.50662,0.55927,0.48935,0.63879,0.83066,1.2241,0.05998,0.000926778,0.000926778,0.000926778
73,542.442,0.46094,0.39226,1.13381,0.0142,0.97622,0.51793,0.56929,0.49458,0.65088,0.78831,1.23586,0.06761,0.000919704,0.000919704,0.000919704
74,549.642,0.459,0.39735,1.15045,0.01568,0.9732,0.51734,0.56519,0.49079,0.66145,0.74237,1.25982,0.06734,0.000912631,0.000912631,0.000912631
75,556.109,0.44787,0.38414,1.12705,0.01288,0.8441,0.51964,0.56303,0.49042,0.67226,0.76707,1.27464,0.06472,0.000905557,0.000905557,0.000905557
76,563.778,0.4438,0.38925,1.1534,0.01443,0.8478,0.51964,0.56721,0.49183,0.64981,0.80055,1.26813,0.05765,0.000898484,0.000898484,0.000898484
77,570.34,0.48491,0.41165,1.17706,0.01431,0.85115,0.51964,0.57399,0.4992,0.63217,0.84062,1.25543,0.05338,0.00089141,0.00089141,0.00089141
78,578.937,0.47405,0.40882,1.16288,0.0137,0.83262,0.52302,0.57925,0.51111,0.60993,0.84022,1.23992,0.04829,0.000884337,0.000884337,0.000884337
79,585.646,0.47032,0.39272,1.13166,0.01408,0.79914,0.52449,0.5779,0.51182,0.61234,0.84186,1.24626,0.04898,0.000877263,0.000877263,0.000877263
80,592.943,0.44176,0.38376,1.13054,0.01488,0.81397,0.5567,0.60581,0.52537,0.62564,0.80054,1.25181,0.05767,0.00087019,0.00087019,0.00087019
81,599.737,0.45799,0.39071,1.13243,0.01931,0.81132,0.55294,0.60194,0.52997,0.61591,0.79476,1.25597,0.05974,0.000863116,0.000863116,0.000863116
82,607.316,0.46322,0.40812,1.14169,0.01584,0.97588,0.52226,0.58141,0.51325,0.61499,0.80493,1.25507,0.06164,0.000856042,0.000856042,0.000856042
83,615.524,0.47725,0.39665,1.13096,0.01343,0.97955,0.51964,0.58383,0.52501,0.62478,0.81986,1.26501,0.06667,0.000848969,0.000848969,0.000848969
84,625.109,0.46746,0.39396,1.15523,0.01488,0.96913,0.51834,0.57039,0.51766,0.62903,0.85291,1.24802,0.06709,0.000841895,0.000841895,0.000841895
85,632.729,0.45103,0.37895,1.15579,0.01349,0.97441,0.51478,0.56862,0.51373,0.61044,0.81768,1.24634,0.06666,0.000834822,0.000834822,0.000834822
86,639.984,0.45431,0.38863,1.12252,0.01418,0.97245,0.51478,0.58436,0.51222,0.5925,0.75337,1.23648,0.06084,0.000827748,0.000827748,0.000827748
87,647.365,0.4363,0.37815,1.12438,0.01501,0.95722,0.52054,0.58979,0.51372,0.58063,0.75481,1.2101,0.06059,0.000820675,0.000820675,0.000820675
88,654.699,0.45743,0.38864,1.13903,0.01362,0.95073,0.51478,0.59913,0.53158,0.56884,0.78354,1.1868,0.06,0.000813601,0.000813601,0.000813601
89,660.832,0.44299,0.38294,1.12413,0.01571,0.93328,0.51872,0.58961,0.5226,0.60384,0.78277,1.21432,0.06333,0.000806528,0.000806528,0.000806528
90,666.781,0.44378,0.37279,1.11028,0.01303,0.97353,0.51964,0.58447,0.52212,0.61658,0.77816,1.2213,0.06279,0.000799454,0.000799454,0.000799454
91,674.138,0.43301,0.37278,1.09926,0.01206,0.97071,0.51964,0.58245,0.52398,0.59483,0.8249,1.19968,0.05929,0.00079238,0.00079238,0.00079238
92,681.805,0.44645,0.38701,1.11793,0.0152,0.8509,0.52836,0.57261,0.51716,0.5949,0.76733,1.23169,0.05268,0.000785307,0.000785307,0.000785307
93,688.517,0.42413,0.36765,1.10526,0.01341,0.84736,0.52935,0.57391,0.5187,0.61743,0.74018,1.26862,0.05137,0.000778233,0.000778233,0.000778233
94,696.37,0.42534,0.35757,1.09689,0.01203,0.68636,0.52679,0.57379,0.51424,0.64987,0.65322,1.31854,0.05039,0.00077116,0.00077116,0.00077116
95,703.134,0.43984,0.36799,1.13217,0.01539,0.70745,0.52449,0.55707,0.50318,0.66109,0.62182,1.33679,0.05071,0.000764086,0.000764086,0.000764086
96,711.932,0.44429,0.38296,1.09605,0.0123,0.64473,0.52449,0.54919,0.50312,0.67567,0.70727,1.32977,0.04476,0.000757013,0.000757013,0.000757013
97,718.868,0.44661,0.3781,1.1352,0.01137,0.73918,0.52449,0.56086,0.50857,0.66141,0.73467,1.29379,0.04306,0.000749939,0.000749939,0.000749939
98,725.742,0.419,0.36801,1.08901,0.01045,0.70556,0.5261,0.56398,0.50757,0.6603,0.70633,1.2961,0.04057,0.000742866,0.000742866,0.000742866
99,732.501,0.43848,0.37231,1.11494,0.0149,0.70098,0.5342,0.55825,0.50678,0.65597,0.699,1.28904,0.0388,0.000735792,0.000735792,0.000735792
100,739.405,0.4484,0.39403,1.13004,0.01199,0.76385,0.5342,0.56168,0.50289,0.65002,0.76579,1.27142,0.04243,0.000728719,0.000728719,0.000728719
101,747.15,0.42456,0.35912,1.10277,0.01087,0.76343,0.5342,0.57658,0.51356,0.62276,0.76648,1.23907,0.04376,0.000721645,0.000721645,0.000721645
102,754.199,0.43862,0.37273,1.11102,0.01259,0.76377,0.5342,0.62291,0.53922,0.60758,0.76537,1.21379,0.04309,0.000714571,0.000714571,0.000714571
103,761.62,0.45443,0.37489,1.1402,0.01292,0.7303,0.54252,0.63005,0.54538,0.59725,0.75076,1.20224,0.04378,0.000707498,0.000707498,0.000707498
104,768.511,0.41971,0.3814,1.10984,0.01314,0.77334,0.54059,0.62705,0.54007,0.57674,0.72534,1.18924,0.04991,0.000700424,0.000700424,0.000700424
105,775.643,0.41003,0.34872,1.09261,0.00908,0.78039,0.54761,0.63124,0.54335,0.57509,0.73387,1.18443,0.05048,0.000693351,0.000693351,0.000693351
106,782.859,0.42419,0.3492,1.10165,0.0137,0.85268,0.56725,0.6325,0.5406,0.58079,0.70255,1.17728,0.04663,0.000686277,0.000686277,0.000686277
107,790.633,0.43053,0.36824,1.11589,0.0116,0.81047,0.56178,0.62757,0.53293,0.58267,0.66235,1.17439,0.04528,0.000679204,0.000679204,0.000679204
108,798.277,0.42588,0.36556,1.13024,0.01372,0.79583,0.55437,0.61342,0.52319,0.56842,0.63278,1.16794,0.04281,0.00067213,0.00067213,0.00067213
109,804.944,0.41451,0.35715,1.09574,0.01072,0.87083,0.54515,0.6152,0.51285,0.56736,0.61991,1.16788,0.04401,0.000665057,0.000665057,0.000665057
110,813.862,0.42386,0.36412,1.10172,0.01263,0.96946,0.54722,0.60602,0.51737,0.57372,0.63115,1.16782,0.0455,0.000657983,0.000657983,0.000657983
111,822.901,0.43002,0.36875,1.12843,0.01317,0.89729,0.54722,0.60174,0.51884,0.59641,0.64535,1.19053,0.04381,0.000650909,0.000650909,0.000650909
112,831.227,0.42153,0.35231,1.10864,0.00989,0.94898,0.55187,0.60509,0.5268,0.60207,0.65093,1.21113,0.04094,0.000643836,0.000643836,0.000643836
113,6.4353,0.43858,0.35523,1.10154,0.01132,0.91184,0.55693,0.62361,0.54001,0.57747,0.67248,1.20861,0.04215,0.000636762,0.000636762,0.000636762
114,14.0869,0.41992,0.35743,1.12552,0.01298,0.9122,0.56178,0.63679,0.55516,0.57937,0.69763,1.20309,0.04597,0.000629689,0.000629689,0.000629689
115,19.3194,0.40088,0.3389,1.08416,0.01202,0.96588,0.55728,0.663,0.54948,0.60533,0.69611,1.22013,0.04887,0.000622615,0.000622615,0.000622615
116,24.5414,0.41992,0.35458,1.10136,0.01517,0.95556,0.56152,0.65709,0.54815,0.61435,0.69272,1.22323,0.04914,0.000615542,0.000615542,0.000615542
117,30.3889,0.38441,0.34682,1.09186,0.0118,0.98573,0.56112,0.61811,0.5378,0.58568,0.67604,1.21017,0.04781,0.000608468,0.000608468,0.000608468
118,36.5121,0.40175,0.35381,1.09119,0.01171,0.85243,0.57149,0.62091,0.53429,0.56329,0.67158,1.18784,0.04848,0.000601395,0.000601395,0.000601395
119,42.1127,0.3996,0.34189,1.08732,0.01386,0.83213,0.56664,0.63297,0.54239,0.57092,0.6498,1.20365,0.05086,0.000594321,0.000594321,0.000594321
120,47.7125,0.38886,0.33802,1.1066,0.01093,0.83945,0.57149,0.64627,0.54196,0.56858,0.62219,1.19969,0.05252,0.000587248,0.000587248,0.000587248
121,55.2161,0.39216,0.33368,1.1093,0.0123,0.80139,0.57149,0.62796,0.53958,0.60764,0.66907,1.221,0.05261,0.000580174,0.000580174,0.000580174
122,61.8735,0.40912,0.36142,1.1064,0.01229,0.78522,0.57149,0.62755,0.53647,0.61308,0.65912,1.22074,0.05175,0.0005731,0.0005731,0.0005731
123,69.7029,0.38337,0.3423,1.0781,0.01091,0.77418,0.57149,0.62562,0.53635,0.61974,0.66182,1.22157,0.0509,0.000566027,0.000566027,0.000566027
124,80.8331,0.38917,0.34662,1.09775,0.01152,0.90674,0.57149,0.64307,0.53621,0.62085,0.66363,1.22025,0.05107,0.000558953,0.000558953,0.000558953
125,86.7143,0.39744,0.34958,1.08912,0.01059,0.84419,0.55887,0.62174,0.53287,0.60348,0.62478,1.21303,0.05069,0.00055188,0.00055188,0.00055188
126,92.5175,0.41521,0.35184,1.08888,0.01284,0.96435,0.54347,0.61025,0.52398,0.60934,0.63692,1.21991,0.04907,0.000544806,0.000544806,0.000544806
127,98.182,0.41955,0.35888,1.11504,0.01,0.97806,0.53681,0.61864,0.5277,0.61269,0.69626,1.21255,0.0508,0.000537733,0.000537733,0.000537733
128,104.243,0.38414,0.34933,1.08502,0.01025,0.95364,0.53906,0.61621,0.52211,0.61816,0.72633,1.21112,0.05227,0.000530659,0.000530659,0.000530659
129,109.677,0.39246,0.34504,1.09161,0.01204,0.95782,0.54075,0.62379,0.52324,0.62312,0.72739,1.22231,0.05501,0.000523586,0.000523586,0.000523586
130,116.12,0.39616,0.347,1.12417,0.01034,0.96335,0.54391,0.61985,0.52856,0.60265,0.71163,1.20784,0.05451,0.000516512,0.000516512,0.000516512
131,122.816,0.39592,0.3445,1.06668,0.01063,0.73621,0.56225,0.62431,0.53221,0.59458,0.67634,1.19697,0.05375,0.000509438,0.000509438,0.000509438
132,129.753,0.39757,0.35429,1.09558,0.00973,0.67634,0.55362,0.62842,0.53534,0.59958,0.65882,1.20018,0.05167,0.000502365,0.000502365,0.000502365
133,140.531,0.38609,0.34168,1.07382,0.01128,0.72856,0.52118,0.5728,0.51148,0.60857,0.67324,1.214,0.04698,0.000495291,0.000495291,0.000495291
134,158.193,0.40116,0.33687,1.07148,0.012,0.72591,0.52118,0.5727,0.5093,0.6038,0.70176,1.20993,0.04531,0.000488218,0.000488218,0.000488218
135,174.206,0.38909,0.33435,1.05213,0.01074,0.71399,0.52118,0.56041,0.50464,0.61963,0.68144,1.23125,0.04484,0.000481144,0.000481144,0.000481144
136,198.343,0.40842,0.34482,1.06924,0.00998,0.71145,0.52118,0.57131,0.51549,0.58724,0.68269,1.19032,0.04355,0.000474071,0.000474071,0.000474071
137,220.565,0.38786,0.33786,1.06348,0.00995,0.84027,0.54391,0.59289,0.51611,0.58142,0.6394,1.19944,0.04762,0.000466997,0.000466997,0.000466997
138,244.679,0.38719,0.33618,1.0588,0.0101,0.82358,0.54547,0.59589,0.51588,0.59692,0.62811,1.21868,0.04784,0.000459924,0.000459924,0.000459924
139,266.727,0.41045,0.34729,1.08429,0.01251,0.80608,0.54651,0.59593,0.5138,0.61312,0.62823,1.23607,0.04838,0.00045285,0.00045285,0.00045285
140,298.026,0.38249,0.33728,1.07194,0.01006,0.85901,0.52884,0.58054,0.51854,0.61912,0.60668,1.25259,0.04711,0.000445777,0.000445777,0.000445777
141,335.136,0.38284,0.33208,1.06471,0.01007,0.84234,0.52697,0.58663,0.522,0.60636,0.6606,1.24407,0.04316,0.000438703,0.000438703,0.000438703
142,354.948,0.37479,0.33052,1.06317,0.01015,0.84129,0.52659,0.5911,0.52377,0.61437,0.69048,1.25132,0.04299,0.000431629,0.000431629,0.000431629
143,374.482,0.37595,0.33097,1.05125,0.0115,0.69942,0.5502,0.59463,0.53262,0.62008,0.6884,1.24966,0.04377,0.000424556,0.000424556,0.000424556
144,387.138,0.37932,0.33335,1.06797,0.011,0.84197,0.52449,0.58528,0.52286,0.63617,0.65365,1.26414,0.04599,0.000417482,0.000417482,0.000417482
145,406.371,0.35373,0.3251,1.06028,0.00779,0.79041,0.5342,0.57759,0.52126,0.61853,0.68259,1.23431,0.04947,0.000410409,0.000410409,0.000410409
146,433.645,0.38438,0.33705,1.06137,0.01197,0.73142,0.54391,0.57104,0.51475,0.59166,0.68595,1.20566,0.05009,0.000403335,0.000403335,0.000403335
147,454.745,0.35943,0.31288,1.04723,0.01127,0.74619,0.54524,0.56913,0.50856,0.57692,0.68733,1.18996,0.0498,0.000396262,0.000396262,0.000396262
148,481.598,0.35827,0.31625,1.06668,0.01059,0.76315,0.54516,0.56174,0.5086,0.59066,0.69066,1.20638,0.05003,0.000389188,0.000389188,0.000389188
149,509.736,0.37727,0.3295,1.06473,0.01029,0.79811,0.51582,0.56058,0.50852,0.60519,0.69982,1.22783,0.04991,0.000382115,0.000382115,0.000382115
150,539.032,0.38175,0.33124,1.07024,0.01104,0.75875,0.54347,0.5667,0.5141,0.6012,0.67405,1.22971,0.04851,0.000375041,0.000375041,0.000375041
151,567.248,0.37398,0.31727,1.07873,0.01174,0.70896,0.54371,0.56169,0.51158,0.61995,0.64802,1.26021,0.04777,0.000367967,0.000367967,0.000367967
152,594.797,0.33566,0.3168,1.04977,0.00757,0.63309,0.54876,0.56867,0.51689,0.63875,0.59171,1.28722,0.04745,0.000360894,0.000360894,0.000360894
153,622.145,0.35855,0.3224,1.05825,0.00898,0.92658,0.49349,0.55695,0.50777,0.65624,0.57676,1.30412,0.04914,0.00035382,0.00035382,0.00035382
154,648.348,0.37789,0.32837,1.06831,0.01097,0.77154,0.50354,0.55802,0.50417,0.67751,0.53992,1.34262,0.04397,0.000346747,0.000346747,0.000346747
155,8.21051,0.50544,0.54905,1.82905,0.01175,0.71203,0.45808,0.51414,0.47258,0.70123,0.8286,1.45397,0.04161,0.000339673,0.000339673,0.000339673
156,14.6755,0.48368,0.50879,1.60984,0.01344,0.67883,0.48235,0.51922,0.47445,0.69554,0.77143,1.42828,0.04124,0.0003326,0.0003326,0.0003326
157,19.8309,0.46453,0.47367,1.38352,0.01371,0.72231,0.47903,0.52139,0.47674,0.69841,0.66927,1.43253,0.0404,0.000325526,0.000325526,0.000325526
158,25.9284,0.43758,0.438,1.17411,0.016,0.78038,0.48235,0.52134,0.47797,0.70854,0.59216,1.44645,0.04159,0.000318453,0.000318453,0.000318453
159,31.0797,0.38871,0.37872,1.10413,0.01214,0.7902,0.4872,0.53417,0.48565,0.7022,0.5596,1.43437,0.04159,0.000311379,0.000311379,0.000311379
160,35.8388,0.4217,0.3891,1.10871,0.01408,0.74316,0.50662,0.5464,0.49769,0.66947,0.54958,1.3902,0.03833,0.000304306,0.000304306,0.000304306
161,40.5837,0.40315,0.36924,1.10052,0.01471,0.79054,0.50892,0.55835,0.50685,0.63859,0.54605,1.3583,0.03758,0.000297232,0.000297232,0.000297232
162,46.1702,0.40622,0.37726,1.14104,0.01349,0.64097,0.5342,0.57612,0.51849,0.62146,0.54369,1.34063,0.03824,0.000290158,0.000290158,0.000290158
163,51.0613,0.40132,0.36799,1.14377,0.01482,0.84707,0.5342,0.58496,0.51651,0.62982,0.58265,1.34106,0.04741,0.000283085,0.000283085,0.000283085
