epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,5279.86,0.20822,0.20263,1.31822,1,1,0.995,0.95917,0.27097,0.28953,1.48626,0.00111776,0.00111776,0.00111776
46,5326.43,0.20084,0.20145,1.36124,1,1,0.995,0.9666,0.27153,0.26911,1.5272,0.00111069,0.00111069,0.00111069
47,5382,0.20863,0.2097,1.32162,1,1,0.995,0.95288,0.34363,0.23363,1.54567,0.00110362,0.00110362,0.00110362
48,5427.3,0.23373,0.22469,1.37817,0.99834,1,0.995,0.9558,0.31912,0.3295,1.49756,0.00109654,0.00109654,0.00109654
49,5473.01,0.21857,0.21288,1.40314,1,1,0.995,0.96744,0.26572,0.21022,1.52659,0.00108947,0.00108947,0.00108947
50,5527.98,0.206,0.20887,1.34585,1,1,0.995,0.96022,0.27411,0.18925,1.51389,0.0010824,0.0010824,0.0010824
51,5583.24,0.20146,0.2055,1.37193,1,1,0.995,0.95071,0.32692,0.25442,1.48989,0.00107532,0.00107532,0.00107532
52,5629.03,0.20141,0.20801,1.34453,1,1,0.995,0.95445,0.31145,0.23812,1.52608,0.00106825,0.00106825,0.00106825
53,5679.47,0.18214,0.19059,1.3797,1,1,0.995,0.95565,0.30892,0.21443,1.50492,0.00106118,0.00106118,0.00106118
54,5734.96,0.2,0.20008,1.33874,1,1,0.995,0.96866,0.25615,0.26981,1.47499,0.0010541,0.0010541,0.0010541
55,5774.27,0.20172,0.19989,1.35776,0.99873,1,0.995,0.9578,0.2968,0.23711,1.52127,0.00104703,0.00104703,0.00104703
56,5812.01,0.19991,0.19752,1.35539,0.99951,1,0.995,0.94833,0.34335,0.20234,1.53222,0.00103995,0.00103995,0.00103995
57,5867.39,0.1906,0.19274,1.35047,1,1,0.995,0.96462,0.27369,0.19579,1.52878,0.00103288,0.00103288,0.00103288
58,5921.42,0.18735,0.19197,1.33859,1,1,0.995,0.96632,0.26166,0.21851,1.50441,0.00102581,0.00102581,0.00102581
59,5974.83,0.18681,0.1884,1.3678,0.99945,1,0.995,0.96662,0.24404,0.19557,1.50786,0.00101873,0.00101873,0.00101873
60,6025.77,0.18652,0.18988,1.3597,1,1,0.995,0.95119,0.32756,0.19956,1.53139,0.00101166,0.00101166,0.00101166
61,6080.56,0.18001,0.18383,1.36496,1,1,0.995,0.96332,0.28579,0.21434,1.50854,0.00100459,0.00100459,0.00100459
