epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,206.817,0.10502,0.11136,1.31489,1,1,0.995,0.9715,0.21531,0.16158,1.52355,0.000608468,0.000608468,0.000608468
118,261.857,0.1025,0.10951,1.35789,1,1,0.995,0.96933,0.20432,0.17396,1.55895,0.000601395,0.000601395,0.000601395
119,318.635,0.10036,0.10662,1.34852,1,1,0.995,0.97419,0.19523,0.16649,1.54322,0.000594321,0.000594321,0.000594321
120,376.009,0.1046,0.10845,1.34584,1,1,0.995,0.96928,0.20267,0.21401,1.51079,0.000587248,0.000587248,0.000587248
121,432.011,0.10719,0.11082,1.35342,1,1,0.995,0.9767,0.18144,0.19016,1.54594,0.000580174,0.000580174,0.000580174
122,488.544,0.10291,0.10534,1.3213,1,1,0.995,0.97684,0.18224,0.18421,1.52035,0.0005731,0.0005731,0.0005731
123,552.713,0.10254,0.10653,1.34384,1,1,0.995,0.97397,0.19245,0.1904,1.50713,0.000566027,0.000566027,0.000566027
124,678.164,0.10497,0.10909,1.33605,1,1,0.995,0.9732,0.19297,0.14969,1.55906,0.000558953,0.000558953,0.000558953
125,50.3799,0.10252,0.11069,1.32172,1,1,0.995,0.96667,0.21535,0.19032,1.53425,0.00055188,0.00055188,0.00055188
126,49.1719,0.10642,0.10995,1.31573,1,1,0.995,0.97175,0.2106,0.17608,1.51435,0.000544806,0.000544806,0.000544806
127,100.132,0.10586,0.1084,1.34225,1,1,0.995,0.97315,0.19842,0.21402,1.52762,0.000537733,0.000537733,0.000537733
128,154.419,0.10261,0.10677,1.3148,1,1,0.995,0.97073,0.20488,0.20245,1.55243,0.000530659,0.000530659,0.000530659
129,209.161,0.10346,0.1058,1.30916,1,1,0.995,0.97423,0.1986,0.18538,1.52163,0.000523586,0.000523586,0.000523586
130,264.485,0.09762,0.10335,1.34966,1,1,0.995,0.96724,0.20738,0.18713,1.56549,0.000516512,0.000516512,0.000516512
131,325.169,0.10075,0.10521,1.33902,1,1,0.995,0.97179,0.20585,0.17613,1.54691,0.000509438,0.000509438,0.000509438
132,391.329,0.10042,0.10321,1.33888,1,1,0.995,0.97657,0.18746,0.16804,1.52641,0.000502365,0.000502365,0.000502365
133,451.413,0.09707,0.10063,1.34638,1,1,0.995,0.97572,0.17981,0.17189,1.55189,0.000495291,0.000495291,0.000495291
134,503.303,0.10064,0.10289,1.31539,1,0.99833,0.995,0.97409,0.18867,0.23712,1.47902,0.000488218,0.000488218,0.000488218
135,557.253,0.10542,0.10732,1.33811,1,1,0.995,0.97625,0.18959,0.1774,1.51669,0.000481144,0.000481144,0.000481144
136,611.246,0.10007,0.10386,1.33081,1,1,0.995,0.97927,0.18168,0.15329,1.5518,0.000474071,0.000474071,0.000474071
137,665.901,0.10515,0.10821,1.34311,1,1,0.995,0.9732,0.20793,0.14731,1.50854,0.000466997,0.000466997,0.000466997
138,720.148,0.10195,0.10502,1.34285,1,1,0.995,0.97638,0.19603,0.1693,1.51144,0.000459924,0.000459924,0.000459924
139,776.454,0.09805,0.10272,1.3386,1,1,0.995,0.98218,0.16455,0.1763,1.51619,0.00045285,0.00045285,0.00045285
140,837.514,0.10468,0.10804,1.33262,1,1,0.995,0.98051,0.17764,0.1578,1.53082,0.000445777,0.000445777,0.000445777
141,897.609,0.10298,0.10659,1.33565,1,1,0.995,0.97889,0.17469,0.18543,1.52925,0.000438703,0.000438703,0.000438703
142,960.573,0.09975,0.10477,1.33352,1,1,0.995,0.97679,0.18842,0.15224,1.54285,0.000431629,0.000431629,0.000431629
143,1026.25,0.10037,0.10204,1.34556,1,1,0.995,0.97556,0.1903,0.18097,1.53776,0.000424556,0.000424556,0.000424556
144,1091.81,0.09856,0.10289,1.339,1,1,0.995,0.97527,0.19122,0.16398,1.53021,0.000417482,0.000417482,0.000417482
145,1154.51,0.09514,0.09957,1.34112,1,0.96833,0.98079,0.95976,0.17023,0.32937,1.4526,0.000410409,0.000410409,0.000410409
146,1208.04,0.09775,0.10302,1.34074,1,1,0.995,0.98138,0.18532,0.16017,1.52004,0.000403335,0.000403335,0.000403335
147,1271.61,0.09833,0.10455,1.3468,1,0.98167,0.98742,0.96821,0.16237,0.28917,1.48326,0.000396262,0.000396262,0.000396262
148,1338.42,0.09299,0.09815,1.33968,1,1,0.995,0.97562,0.18512,0.18661,1.52027,0.000389188,0.000389188,0.000389188
149,1398.3,0.09477,0.10144,1.34736,1,1,0.995,0.98015,0.18716,0.15485,1.53449,0.000382115,0.000382115,0.000382115
150,1462.54,0.09406,0.10097,1.34742,1,0.99833,0.995,0.97414,0.20001,0.25605,1.5147,0.000375041,0.000375041,0.000375041
151,1519.32,0.09324,0.09853,1.37503,1,0.99667,0.995,0.97723,0.18834,0.29448,1.52675,0.000367967,0.000367967,0.000367967
152,1577.38,0.09414,0.09951,1.34956,1,1,0.995,0.97634,0.19912,0.1623,1.55542,0.000360894,0.000360894,0.000360894
153,46.2788,0.0892,0.09679,1.32116,1,1,0.995,0.97731,0.19143,0.15926,1.51637,0.00035382,0.00035382,0.00035382
154,105.566,0.09089,0.09577,1.34443,1,1,0.995,0.97887,0.17503,0.18454,1.5088,0.000346747,0.000346747,0.000346747
155,154.563,0.08898,0.09378,1.31755,1,1,0.995,0.97998,0.17605,0.17585,1.53596,0.000339673,0.000339673,0.000339673
156,204.934,0.09243,0.0951,1.31132,1,1,0.995,0.98052,0.17385,0.15885,1.51766,0.0003326,0.0003326,0.0003326
157,255.284,0.08971,0.09431,1.34916,1,1,0.995,0.98,0.1754,0.18284,1.53256,0.000325526,0.000325526,0.000325526
158,306.289,0.08958,0.09494,1.33357,1,1,0.995,0.97913,0.18235,0.16389,1.54191,0.000318453,0.000318453,0.000318453
159,358.196,0.08967,0.09631,1.33544,1,1,0.995,0.97917,0.17578,0.17346,1.53176,0.000311379,0.000311379,0.000311379
160,411.293,0.09029,0.09596,1.33593,1,1,0.995,0.97794,0.18646,0.14447,1.55916,0.000304306,0.000304306,0.000304306
161,465.406,0.0909,0.09659,1.30625,1,1,0.995,0.97575,0.19494,0.14983,1.55924,0.000297232,0.000297232,0.000297232
162,526.359,0.09276,0.09871,1.33109,1,1,0.995,0.97719,0.18753,0.14546,1.52669,0.000290158,0.000290158,0.000290158
163,585.977,0.08928,0.0952,1.32196,1,1,0.995,0.97271,0.20385,0.15282,1.55407,0.000283085,0.000283085,0.000283085
164,642.116,0.09609,0.09976,1.33433,1,1,0.995,0.97523,0.20036,0.13791,1.51825,0.000276011,0.000276011,0.000276011
165,697.044,0.08773,0.09465,1.33618,1,1,0.995,0.97648,0.20066,0.16271,1.52267,0.000268938,0.000268938,0.000268938
166,754.545,0.08474,0.09105,1.33506,1,1,0.995,0.97913,0.17871,0.15088,1.52093,0.000261864,0.000261864,0.000261864
167,808.573,0.09011,0.09516,1.3293,1,1,0.995,0.9778,0.17874,0.14762,1.53041,0.000254791,0.000254791,0.000254791
168,887.132,0.08804,0.09424,1.33192,1,1,0.995,0.97687,0.18661,0.16157,1.53365,0.000247717,0.000247717,0.000247717
169,941.088,0.0886,0.09404,1.33048,1,1,0.995,0.97629,0.18827,0.17288,1.53468,0.000240644,0.000240644,0.000240644
170,995.958,0.08638,0.09066,1.34351,1,1,0.995,0.97401,0.19762,0.17934,1.54406,0.00023357,0.00023357,0.00023357
171,1051.77,0.08496,0.09006,1.33676,1,1,0.995,0.97571,0.1837,0.16281,1.53759,0.000226497,0.000226497,0.000226497
172,1119.26,0.08609,0.09018,1.33715,1,1,0.995,0.97951,0.17693,0.14274,1.5229,0.000219423,0.000219423,0.000219423
173,51.4002,0.07936,0.0877,1.31691,1,1,0.995,0.97457,0.18675,0.16793,1.50369,0.000212349,0.000212349,0.000212349
174,105.142,0.0818,0.08829,1.33847,1,1,0.995,0.97759,0.17285,0.16499,1.50774,0.000205276,0.000205276,0.000205276
175,179.623,0.08038,0.0869,1.31165,1,1,0.995,0.97868,0.17514,0.15933,1.52688,0.000198202,0.000198202,0.000198202
176,330.629,0.08047,0.08761,1.30414,1,1,0.995,0.97855,0.17436,0.15493,1.51773,0.000191129,0.000191129,0.000191129
177,52.2583,0.07684,0.08645,1.30262,1,1,0.995,0.97637,0.17824,0.17419,1.50132,0.000184055,0.000184055,0.000184055
178,101.884,0.07819,0.08663,1.32285,1,1,0.995,0.97609,0.18087,0.17754,1.5164,0.000176982,0.000176982,0.000176982
179,154.603,0.07864,0.08755,1.29504,1,1,0.995,0.97832,0.17573,0.13895,1.53523,0.000169908,0.000169908,0.000169908
180,213.209,0.07953,0.08621,1.29634,1,1,0.995,0.97718,0.18649,0.13777,1.53782,0.000162835,0.000162835,0.000162835
181,268.533,0.08027,0.0887,1.34235,1,1,0.995,0.97803,0.17283,0.1667,1.51164,0.000155761,0.000155761,0.000155761
182,52.507,0.07447,0.08449,1.29923,1,1,0.995,0.97633,0.18205,0.16487,1.51319,0.000148687,0.000148687,0.000148687
183,108.079,0.07405,0.08412,1.30864,1,1,0.995,0.97618,0.18862,0.1905,1.51407,0.000141614,0.000141614,0.000141614
184,163.167,0.07854,0.08797,1.28112,1,1,0.995,0.97969,0.18442,0.15384,1.53065,0.00013454,0.00013454,0.00013454
185,218.924,0.07756,0.08661,1.28747,1,1,0.995,0.97994,0.17699,0.14576,1.52313,0.000127467,0.000127467,0.000127467
186,274.817,0.07869,0.08779,1.31917,1,1,0.995,0.97997,0.17405,0.14889,1.5357,0.000120393,0.000120393,0.000120393
