epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7626,0.84424,2.00757,1.43087,0.90612,0.98657,0.99274,0.89203,0.57021,0.86225,1.43612,0.000473952,0.000473952,0.000473952
2,103.123,0.4219,0.5273,1.39335,0.99556,0.99969,0.99498,0.93156,0.50278,0.47927,1.42215,0.000945581,0.000945581,0.000945581
3,154.933,0.38943,0.41283,1.34842,0.99854,1,0.995,0.92743,0.49418,0.41206,1.45301,0.00141249,0.00141249,0.00141249
4,205.765,0.35265,0.36148,1.33386,0.99849,1,0.995,0.95401,0.41333,0.42517,1.45731,0.00140778,0.00140778,0.00140778
5,258.257,0.30782,0.31213,1.38048,1,1,0.995,0.94532,0.41602,0.34383,1.45376,0.00140071,0.00140071,0.00140071
6,311.56,0.29884,0.30309,1.36216,1,1,0.995,0.94533,0.45066,0.31828,1.51923,0.00139363,0.00139363,0.00139363
7,364.496,0.29243,0.28866,1.36642,1,1,0.995,0.96268,0.37586,0.32608,1.45717,0.00138656,0.00138656,0.00138656
8,417.694,0.26914,0.27075,1.36341,1,1,0.995,0.96091,0.30751,0.35228,1.50209,0.00137949,0.00137949,0.00137949
9,469.933,0.26599,0.26341,1.3295,0.99859,1,0.995,0.95623,0.36483,0.30522,1.4477,0.00137241,0.00137241,0.00137241
10,522.829,0.25229,0.25036,1.35307,0.98697,1,0.99215,0.94444,0.35004,0.4613,1.44491,0.00136534,0.00136534,0.00136534
11,575.048,0.24204,0.24355,1.34728,1,1,0.995,0.96598,0.28242,0.36356,1.53772,0.00135826,0.00135826,0.00135826
12,628.914,0.24573,0.23845,1.35431,1,1,0.995,0.95149,0.3739,0.28224,1.48372,0.00135119,0.00135119,0.00135119
13,681.024,0.23229,0.22963,1.35742,1,1,0.995,0.96588,0.3165,0.23243,1.5621,0.00134412,0.00134412,0.00134412
14,733.41,0.22352,0.22306,1.34898,1,1,0.995,0.96983,0.29857,0.28107,1.5427,0.00133704,0.00133704,0.00133704
15,785.781,0.2194,0.21855,1.34022,1,0.99667,0.995,0.95288,0.28684,0.38762,1.54206,0.00132997,0.00132997,0.00132997
16,838.89,0.22775,0.22102,1.34325,1,0.99833,0.995,0.96561,0.30923,0.41497,1.54242,0.0013229,0.0013229,0.0013229
17,891.812,0.21806,0.21475,1.3493,1,1,0.995,0.95359,0.32127,0.23126,1.52899,0.00131582,0.00131582,0.00131582
18,945.739,0.21369,0.21661,1.34953,1,0.92167,0.95748,0.93136,0.24593,0.73629,1.47011,0.00130875,0.00130875,0.00130875
19,999.842,0.20288,0.20657,1.3522,0.99961,1,0.995,0.97222,0.24504,0.23,1.5196,0.00130168,0.00130168,0.00130168
20,1054.36,0.20288,0.20056,1.35522,1,1,0.995,0.95691,0.30627,0.24176,1.51876,0.0012946,0.0012946,0.0012946
21,1106.22,0.20395,0.20236,1.35332,1,1,0.995,0.96174,0.26884,0.26686,1.53415,0.00128753,0.00128753,0.00128753
22,1158.08,0.20722,0.20127,1.35364,1,1,0.995,0.96852,0.27965,0.25058,1.55889,0.00128046,0.00128046,0.00128046
23,1212.57,0.18855,0.18904,1.34483,1,0.995,0.99389,0.95852,0.28238,0.4531,1.48017,0.00127338,0.00127338,0.00127338
24,1266.07,0.18655,0.20052,1.35196,1,1,0.995,0.97168,0.25966,0.23931,1.50337,0.00126631,0.00126631,0.00126631
25,1318.77,0.18099,0.19018,1.35458,1,1,0.995,0.96996,0.23303,0.24226,1.50638,0.00125923,0.00125923,0.00125923
26,1371.53,0.17882,0.1865,1.37914,1,1,0.995,0.96805,0.23712,0.24689,1.5304,0.00125216,0.00125216,0.00125216
27,1427.18,0.17987,0.1802,1.36154,1,1,0.995,0.9608,0.26964,0.30822,1.54034,0.00124509,0.00124509,0.00124509
28,1479.06,0.18115,0.18078,1.3558,1,1,0.995,0.96332,0.26028,0.29046,1.53101,0.00123801,0.00123801,0.00123801
29,1529.47,0.18697,0.18248,1.36513,1,1,0.995,0.96235,0.28643,0.2886,1.49909,0.00123094,0.00123094,0.00123094
30,1582.47,0.17866,0.18022,1.35279,1,1,0.995,0.96116,0.26188,0.24445,1.54655,0.00122387,0.00122387,0.00122387
31,1637.61,0.17145,0.17131,1.34723,1,1,0.995,0.96429,0.29953,0.20668,1.55699,0.00121679,0.00121679,0.00121679
32,1691.88,0.16894,0.17312,1.34797,1,1,0.995,0.96898,0.24997,0.27326,1.53504,0.00120972,0.00120972,0.00120972
33,1745.62,0.17658,0.17738,1.36091,1,1,0.995,0.97051,0.26602,0.22619,1.50686,0.00120265,0.00120265,0.00120265
34,1798.11,0.18381,0.17773,1.3719,1,1,0.995,0.97242,0.25003,0.28116,1.47726,0.00119557,0.00119557,0.00119557
35,1853.27,0.18898,0.17809,1.34972,1,1,0.995,0.97606,0.24889,0.28037,1.47659,0.0011885,0.0011885,0.0011885
36,1906.51,0.17452,0.1697,1.33885,1,1,0.995,0.9726,0.21612,0.28042,1.51657,0.00118143,0.00118143,0.00118143
37,1959.69,0.16231,0.16373,1.34825,1,0.99667,0.995,0.96384,0.22611,0.34132,1.51258,0.00117435,0.00117435,0.00117435
38,2013.75,0.16951,0.17152,1.3404,1,0.97333,0.98333,0.95878,0.21655,0.46059,1.4921,0.00116728,0.00116728,0.00116728
39,2066.86,0.1624,0.16359,1.35528,1,1,0.995,0.96694,0.22557,0.25501,1.53172,0.00116021,0.00116021,0.00116021
40,2120.32,0.16056,0.16522,1.34179,1,1,0.995,0.96444,0.23972,0.24409,1.51202,0.00115313,0.00115313,0.00115313
41,2171.87,0.16463,0.16995,1.34531,1,0.99667,0.995,0.96219,0.23606,0.32704,1.48196,0.00114606,0.00114606,0.00114606
42,2225.8,0.16179,0.16261,1.35489,1,1,0.995,0.95856,0.27919,0.24112,1.53215,0.00113898,0.00113898,0.00113898
43,2278.9,0.16656,0.16407,1.36637,1,0.995,0.99389,0.95931,0.25947,0.36195,1.51225,0.00113191,0.00113191,0.00113191
44,2331.94,0.15525,0.15781,1.33535,1,0.97,0.98167,0.95875,0.22401,0.45185,1.48852,0.00112484,0.00112484,0.00112484
45,2385.96,0.16698,0.16687,1.31719,1,1,0.995,0.96538,0.22337,0.28271,1.49556,0.00111776,0.00111776,0.00111776
46,2439.98,0.15507,0.15586,1.35932,1,1,0.995,0.96759,0.21061,0.22202,1.55075,0.00111069,0.00111069,0.00111069
47,53.5939,0.18054,0.17948,1.33931,1,0.99667,0.995,0.9741,0.21326,0.30471,1.48457,0.00110362,0.00110362,0.00110362
48,105.648,0.15964,0.15668,1.36108,1,1,0.995,0.96739,0.2284,0.23431,1.52204,0.00109654,0.00109654,0.00109654
49,163.834,0.15814,0.15481,1.33391,1,1,0.995,0.97547,0.23424,0.1986,1.55812,0.00108947,0.00108947,0.00108947
50,48.6928,0.17578,0.1653,1.328,1,0.99833,0.995,0.97172,0.21842,0.27659,1.4994,0.0010824,0.0010824,0.0010824
51,97.5834,0.14908,0.14811,1.3558,0.99949,1,0.995,0.97322,0.23366,0.17455,1.56014,0.00107532,0.00107532,0.00107532
52,148.685,0.15979,0.15049,1.33303,1,1,0.995,0.96361,0.24437,0.21994,1.54724,0.00106825,0.00106825,0.00106825
53,201.118,0.15878,0.15271,1.32557,1,1,0.995,0.96799,0.22549,0.2244,1.52401,0.00106118,0.00106118,0.00106118
54,254.834,0.14453,0.14488,1.37119,1,1,0.995,0.96322,0.23694,0.15478,1.56048,0.0010541,0.0010541,0.0010541
55,308.869,0.14742,0.14949,1.3585,1,1,0.995,0.97674,0.20413,0.16844,1.55536,0.00104703,0.00104703,0.00104703
56,380.684,0.15106,0.14905,1.351,1,1,0.995,0.96909,0.21517,0.21813,1.51015,0.00103995,0.00103995,0.00103995
57,502.544,0.14649,0.14559,1.36612,1,1,0.995,0.97818,0.17768,0.23636,1.54822,0.00103288,0.00103288,0.00103288
58,812.831,0.14678,0.14565,1.32845,1,0.99833,0.995,0.9695,0.21007,0.27332,1.48026,0.00102581,0.00102581,0.00102581
59,47.9278,0.15226,0.15261,1.32951,1,1,0.995,0.97144,0.22075,0.1934,1.51427,0.00101873,0.00101873,0.00101873
60,95.0221,0.14263,0.14409,1.35438,1,1,0.995,0.96755,0.21384,0.20541,1.53497,0.00101166,0.00101166,0.00101166
61,50.1937,0.16715,0.16067,1.32905,1,1,0.995,0.97375,0.22204,0.2221,1.50374,0.00100459,0.00100459,0.00100459
62,798.839,0.14948,0.14521,1.35311,1,1,0.995,0.9681,0.22022,0.20536,1.51482,0.000997513,0.000997513,0.000997513
63,53.3529,0.16206,0.15305,1.32482,1,1,0.995,0.97169,0.20584,0.20665,1.47453,0.00099044,0.00099044,0.00099044
64,106.249,0.15314,0.14442,1.34726,1,1,0.995,0.97355,0.22525,0.22487,1.4806,0.000983366,0.000983366,0.000983366
65,162.325,0.15009,0.14633,1.32557,1,1,0.995,0.96955,0.21552,0.20764,1.51706,0.000976293,0.000976293,0.000976293
66,989.291,0.14208,0.13923,1.31967,1,1,0.995,0.96988,0.20442,0.21497,1.49704,0.000969219,0.000969219,0.000969219
67,48.5671,0.17186,0.15719,1.32209,1,0.99667,0.995,0.97149,0.22014,0.26662,1.46283,0.000962146,0.000962146,0.000962146
68,95.5515,0.13822,0.13816,1.34435,1,1,0.995,0.97964,0.22256,0.2293,1.50749,0.000955072,0.000955072,0.000955072
69,145.29,0.1439,0.13882,1.32045,1,0.99667,0.995,0.96625,0.23524,0.27206,1.52293,0.000947999,0.000947999,0.000947999
70,196.668,0.14223,0.13535,1.31798,1,1,0.995,0.97341,0.21655,0.20161,1.51573,0.000940925,0.000940925,0.000940925
71,250.634,0.13827,0.13523,1.36448,1,1,0.995,0.97459,0.19871,0.18491,1.56327,0.000933851,0.000933851,0.000933851
72,308.439,0.13157,0.13161,1.35696,1,0.99833,0.995,0.96705,0.20545,0.24357,1.48791,0.000926778,0.000926778,0.000926778
73,366.133,0.13148,0.13344,1.3519,1,1,0.995,0.97525,0.18872,0.19151,1.48606,0.000919704,0.000919704,0.000919704
74,448.553,0.13423,0.13429,1.36587,1,1,0.995,0.98045,0.17431,0.24866,1.52863,0.000912631,0.000912631,0.000912631
75,535.52,0.13026,0.13423,1.32683,1,0.99833,0.995,0.97757,0.17969,0.24985,1.46539,0.000905557,0.000905557,0.000905557
76,1395.53,0.13355,0.13501,1.35252,1,0.95,0.975,0.96054,0.18177,0.22861,1.49013,0.000898484,0.000898484,0.000898484
77,54.2464,0.14134,0.14365,1.32424,1,0.995,0.99389,0.97093,0.1931,0.27191,1.47378,0.00089141,0.00089141,0.00089141
78,106.386,0.12679,0.13212,1.34873,1,0.99833,0.995,0.97242,0.19143,0.22744,1.49835,0.000884337,0.000884337,0.000884337
79,164.206,0.12273,0.12721,1.32405,1,1,0.995,0.97003,0.19942,0.21648,1.5068,0.000877263,0.000877263,0.000877263
80,225.519,0.12527,0.12731,1.31665,1,1,0.995,0.97158,0.21061,0.20603,1.51245,0.00087019,0.00087019,0.00087019
81,292.624,0.1266,0.12764,1.36038,1,1,0.995,0.97442,0.20106,0.21691,1.53256,0.000863116,0.000863116,0.000863116
82,54.1702,0.14638,0.14099,1.32127,1,0.99,0.99167,0.97317,0.19008,0.28073,1.45799,0.000856042,0.000856042,0.000856042
83,109.979,0.12738,0.1274,1.34222,1,0.99333,0.99333,0.97014,0.18449,0.26362,1.50005,0.000848969,0.000848969,0.000848969
84,167.123,0.13788,0.13055,1.31664,1,0.99833,0.995,0.97467,0.19622,0.23655,1.48514,0.000841895,0.000841895,0.000841895
85,225.831,0.13524,0.1314,1.31204,1,1,0.995,0.97186,0.20095,0.24765,1.46827,0.000834822,0.000834822,0.000834822
86,282.863,0.13182,0.12966,1.3536,1,1,0.995,0.9742,0.19978,0.17936,1.5337,0.000827748,0.000827748,0.000827748
87,336.328,0.12241,0.12417,1.35221,1,1,0.995,0.96808,0.20458,0.2289,1.48526,0.000820675,0.000820675,0.000820675
88,386.648,0.12495,0.12571,1.34794,1,1,0.995,0.96757,0.2178,0.20542,1.46206,0.000813601,0.000813601,0.000813601
89,440.56,0.12638,0.12703,1.35955,1,1,0.995,0.98126,0.17816,0.22736,1.51075,0.000806528,0.000806528,0.000806528
90,505.295,0.12644,0.1269,1.32311,1,1,0.995,0.97796,0.19804,0.17494,1.49087,0.000799454,0.000799454,0.000799454
91,567.675,0.12601,0.12618,1.34678,1,1,0.995,0.97686,0.18408,0.18595,1.50014,0.00079238,0.00079238,0.00079238
92,630.572,0.12605,0.12864,1.33955,1,1,0.995,0.98306,0.17763,0.16771,1.53539,0.000785307,0.000785307,0.000785307
93,696.449,0.12912,0.13123,1.34676,1,1,0.995,0.98322,0.19084,0.1648,1.49634,0.000778233,0.000778233,0.000778233
94,757.478,0.1273,0.13047,1.34911,1,1,0.995,0.97601,0.19898,0.16176,1.51649,0.00077116,0.00077116,0.00077116
95,809.159,0.12343,0.12391,1.34167,1,1,0.995,0.97718,0.20612,0.14382,1.54714,0.000764086,0.000764086,0.000764086
96,866.646,0.12548,0.12881,1.33441,1,1,0.995,0.97428,0.1991,0.18174,1.5438,0.000757013,0.000757013,0.000757013
97,926.358,0.12047,0.12404,1.33684,1,1,0.995,0.98029,0.19126,0.169,1.54929,0.000749939,0.000749939,0.000749939
98,983.684,0.12282,0.12546,1.33721,1,1,0.995,0.97477,0.21245,0.16885,1.5187,0.000742866,0.000742866,0.000742866
99,1040.37,0.123,0.12498,1.34932,1,0.98167,0.98742,0.96511,0.18043,0.30758,1.51242,0.000735792,0.000735792,0.000735792
100,1098.31,0.11964,0.12489,1.34316,1,1,0.995,0.97257,0.20937,0.16174,1.51855,0.000728719,0.000728719,0.000728719
101,1156.09,0.12213,0.12264,1.34231,0.99642,0.97333,0.98303,0.93399,0.28531,0.35473,1.44278,0.000721645,0.000721645,0.000721645
102,1210.7,0.12093,0.12597,1.3437,1,0.99333,0.99333,0.97109,0.20917,0.28989,1.51693,0.000714571,0.000714571,0.000714571
103,1263.35,0.12173,0.12485,1.34773,1,1,0.995,0.97388,0.21514,0.17214,1.56101,0.000707498,0.000707498,0.000707498
104,1316.23,0.11411,0.1164,1.3414,1,1,0.995,0.97249,0.19666,0.25169,1.50753,0.000700424,0.000700424,0.000700424
105,1368.74,0.11677,0.12217,1.3474,1,1,0.995,0.97029,0.21391,0.13536,1.57014,0.000693351,0.000693351,0.000693351
106,1421.38,0.11644,0.12143,1.3459,1,0.99667,0.995,0.96157,0.22426,0.274,1.53362,0.000686277,0.000686277,0.000686277
107,1474.09,0.11304,0.11703,1.37733,1,1,0.995,0.96829,0.22307,0.14759,1.56725,0.000679204,0.000679204,0.000679204
108,1527.22,0.11763,0.12033,1.35129,1,1,0.995,0.97103,0.21823,0.16753,1.56775,0.00067213,0.00067213,0.00067213
109,1580.26,0.10938,0.11882,1.34772,1,0.99833,0.995,0.97538,0.16835,0.27513,1.53107,0.000665057,0.000665057,0.000665057
110,1632.95,0.1135,0.11992,1.36034,1,1,0.995,0.9664,0.23207,0.15562,1.55901,0.000657983,0.000657983,0.000657983
111,1686.49,0.11288,0.11719,1.35253,1,1,0.995,0.97503,0.212,0.18355,1.55244,0.000650909,0.000650909,0.000650909
112,1751.41,0.11067,0.1125,1.34214,1,1,0.995,0.98032,0.18699,0.17972,1.54311,0.000643836,0.000643836,0.000643836
113,1888.61,0.11339,0.11427,1.34673,1,1,0.995,0.97854,0.1988,0.16817,1.53613,0.000636762,0.000636762,0.000636762
114,51.7819,0.11246,0.11807,1.3229,1,1,0.995,0.96996,0.22086,0.23151,1.49577,0.000629689,0.000629689,0.000629689
115,101.214,0.10745,0.11345,1.34581,1,1,0.995,0.97672,0.18781,0.19547,1.52433,0.000622615,0.000622615,0.000622615
116,153.448,0.10518,0.1104,1.3221,1,1,0.995,0.9696,0.20859,0.19516,1.54245,0.000615542,0.000615542,0.000615542
