epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5055,2.13137,3.65827,2.72878,0.22883,0.54552,0.44925,0.52611,0.37197,1.318,1.93376,1.82636,0.16895,0.000473642,0.000473642,0.000473642
2,49.6568,1.61783,2.20344,2.10557,0.17619,0.72868,0.76338,0.74337,0.51028,1.06234,1.06378,1.66384,0.0518,0.000945273,0.000945273,0.000945273
3,74.8227,1.39884,1.57211,1.95515,0.13155,0.92992,0.89809,0.95593,0.72278,0.78328,0.83054,1.36703,0.05673,0.00141219,0.00141219,0.00141219
4,99.2675,1.32446,1.34774,1.90353,0.12878,0.9574,0.91279,0.96647,0.76197,0.73522,0.70841,1.29829,0.04696,0.00140778,0.00140778,0.00140778
5,121.85,1.20908,1.17211,1.77349,0.10688,0.94036,0.89276,0.96749,0.76521,0.74995,0.69957,1.2587,0.0315,0.00140071,0.00140071,0.00140071
6,146.415,1.24819,1.19481,1.76757,0.10881,0.94243,0.94825,0.97723,0.77689,0.73872,0.56106,1.22327,0.05092,0.00139363,0.00139363,0.00139363
7,169.093,1.16559,1.04261,1.75569,0.11009,0.97355,0.90455,0.97802,0.76006,0.63596,0.57872,1.24213,0.0286,0.00138656,0.00138656,0.00138656
8,193.513,1.18673,1.05625,1.74959,0.10596,0.84816,0.93782,0.96283,0.73739,0.73813,0.60384,1.30313,0.05006,0.00137949,0.00137949,0.00137949
9,218.028,1.14111,0.99324,1.71922,0.10244,0.88778,0.9333,0.96431,0.78924,0.81096,0.57689,1.32492,0.03795,0.00137241,0.00137241,0.00137241
10,244.035,1.10285,0.95733,1.66655,0.0966,0.94771,0.91537,0.97549,0.78369,0.65299,0.55741,1.20195,0.02979,0.00136534,0.00136534,0.00136534
11,269.785,1.09594,0.92954,1.63838,0.08378,0.94679,0.90659,0.979,0.8056,0.63923,0.54089,1.17461,0.02659,0.00135826,0.00135826,0.00135826
12,300.575,1.06875,0.90116,1.66631,0.09338,0.96399,0.8672,0.97207,0.80091,0.67203,0.54493,1.23954,0.02949,0.00135119,0.00135119,0.00135119
13,328.69,1.02927,0.87733,1.58832,0.07798,0.97259,0.84261,0.95791,0.78996,0.65302,0.50786,1.14492,0.04955,0.00134412,0.00134412,0.00134412
14,355.108,1.00634,0.83193,1.56459,0.08509,0.90198,0.91769,0.9658,0.80399,0.62217,0.56793,1.16069,0.0284,0.00133704,0.00133704,0.00133704
15,382.249,1.05285,0.88159,1.61419,0.08284,0.94382,0.93882,0.98219,0.80002,0.65505,0.57159,1.17564,0.03684,0.00132997,0.00132997,0.00132997
16,410.577,0.97554,0.8329,1.55318,0.07587,0.94975,0.93985,0.98059,0.77608,0.65918,0.52241,1.20629,0.02849,0.0013229,0.0013229,0.0013229
