epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
17,438.132,1.00348,0.84137,1.58622,0.0897,0.9874,0.89736,0.97607,0.7839,0.6325,0.55672,1.199,0.03329,0.00131582,0.00131582,0.00131582
18,465.206,1.01008,0.84153,1.54592,0.07892,0.95334,0.95053,0.98261,0.78928,0.67687,0.50999,1.19639,0.03908,0.00130875,0.00130875,0.00130875
19,489.715,0.97158,0.77179,1.53101,0.07932,0.97394,0.93977,0.98239,0.80994,0.63603,0.49278,1.18794,0.03279,0.00130168,0.00130168,0.00130168
20,519.113,0.96025,0.80434,1.53008,0.07265,0.95856,0.97389,0.9876,0.84825,0.59944,0.46755,1.14587,0.03403,0.0012946,0.0012946,0.0012946
21,548.233,0.9443,0.78776,1.51204,0.07384,0.95501,0.95719,0.98187,0.80579,0.55382,0.42967,1.10316,0.03481,0.00128753,0.00128753,0.00128753
22,578.434,0.91572,0.74529,1.49956,0.07423,0.97082,0.97931,0.98956,0.80453,0.58693,0.4747,1.16899,0.03118,0.00128046,0.00128046,0.00128046
23,607.689,0.98139,0.79261,1.55621,0.07824,0.9602,0.94316,0.98605,0.87036,0.58422,0.4701,1.14123,0.03372,0.00127338,0.00127338,0.00127338
24,635.79,0.91294,0.7319,1.49118,0.07623,0.96625,0.97127,0.98794,0.85457,0.57063,0.43387,1.14611,0.03138,0.00126631,0.00126631,0.00126631
25,663.198,0.9333,0.80183,1.53217,0.0737,0.96286,0.92731,0.98213,0.79702,0.62126,0.44494,1.19168,0.02771,0.00125923,0.00125923,0.00125923
26,690.072,0.93543,0.77002,1.5084,0.06827,0.97837,0.93852,0.98293,0.83943,0.57246,0.39261,1.15591,0.02984,0.00125216,0.00125216,0.00125216
27,715.912,0.89545,0.74789,1.47307,0.06431,0.96524,0.95852,0.98493,0.8422,0.59149,0.42056,1.15274,0.02822,0.00124509,0.00124509,0.00124509
28,743.627,0.86541,0.71802,1.43019,0.06126,0.9524,0.94248,0.98698,0.84885,0.58054,0.44499,1.1388,0.02688,0.00123801,0.00123801,0.00123801
29,772.123,0.8664,0.71829,1.46139,0.06366,0.92126,0.95772,0.97515,0.80428,0.59894,0.43549,1.18821,0.02405,0.00123094,0.00123094,0.00123094
30,799.914,0.91165,0.76779,1.50372,0.0642,0.91425,0.94115,0.97159,0.81142,0.63089,0.43297,1.24081,0.01947,0.00122387,0.00122387,0.00122387
31,829.89,0.88967,0.71548,1.45532,0.06375,0.96834,0.93086,0.97903,0.80861,0.5849,0.45803,1.16593,0.02405,0.00121679,0.00121679,0.00121679
32,857.539,0.92592,0.75165,1.48915,0.06878,0.96885,0.92829,0.98066,0.77193,0.60923,0.43135,1.21156,0.02532,0.00120972,0.00120972,0.00120972
33,883.778,0.86805,0.70659,1.46481,0.05919,0.97607,0.91637,0.98207,0.84684,0.53893,0.44427,1.16302,0.02458,0.00120265,0.00120265,0.00120265
34,910.044,0.82885,0.67931,1.42252,0.05965,0.98323,0.92919,0.98194,0.8494,0.55807,0.39657,1.16183,0.02664,0.00119557,0.00119557,0.00119557
35,935.785,0.8907,0.73957,1.45864,0.06266,0.95352,0.95916,0.97658,0.8313,0.61386,0.43388,1.15378,0.02493,0.0011885,0.0011885,0.0011885
36,961.056,0.86118,0.70687,1.44391,0.06219,0.96678,0.96523,0.97812,0.83594,0.57709,0.44082,1.15147,0.02914,0.00118143,0.00118143,0.00118143
37,984.519,0.83735,0.68564,1.42633,0.05622,0.97102,0.95581,0.98287,0.82531,0.58039,0.39406,1.14749,0.02329,0.00117435,0.00117435,0.00117435
38,1008.77,0.82869,0.66391,1.42361,0.05958,0.97677,0.90504,0.97184,0.80282,0.5616,0.43461,1.14114,0.02672,0.00116728,0.00116728,0.00116728
39,1033.47,0.84058,0.6827,1.42209,0.06252,0.98355,0.91625,0.97876,0.80902,0.56382,0.41645,1.12333,0.02471,0.00116021,0.00116021,0.00116021
40,1056.89,0.80363,0.66396,1.40023,0.05514,0.93077,0.93652,0.97808,0.84365,0.52932,0.50366,1.15235,0.02246,0.00115313,0.00115313,0.00115313
41,1079.92,0.85566,0.66883,1.41655,0.06922,0.94216,0.92087,0.96727,0.83898,0.51707,0.43303,1.13133,0.02484,0.00114606,0.00114606,0.00114606
42,1105.86,0.85116,0.65813,1.42483,0.06201,0.9449,0.93844,0.9763,0.83452,0.53891,0.43068,1.16732,0.02204,0.00113898,0.00113898,0.00113898
43,1133.2,0.81569,0.73086,1.39401,0.05585,0.95424,0.95318,0.98044,0.85597,0.51811,0.39103,1.13019,0.01908,0.00113191,0.00113191,0.00113191
44,1162.26,0.80366,0.6411,1.38912,0.05201,0.96785,0.93244,0.97385,0.83361,0.54641,0.40114,1.15436,0.01998,0.00112484,0.00112484,0.00112484
45,1186.49,0.83593,0.71326,1.41325,0.05998,0.95651,0.91907,0.97126,0.839,0.5557,0.42066,1.19357,0.01861,0.00111776,0.00111776,0.00111776
46,1211.68,0.84992,0.70294,1.45655,0.05993,0.98138,0.85909,0.95845,0.83793,0.52332,0.4405,1.15707,0.02037,0.00111069,0.00111069,0.00111069
47,1236.15,0.82366,0.66656,1.40438,0.06332,0.96125,0.93364,0.97538,0.84274,0.5054,0.39845,1.15265,0.02095,0.00110362,0.00110362,0.00110362
48,1260.75,0.81717,0.65187,1.39582,0.05878,0.97061,0.93118,0.97604,0.82532,0.52439,0.41663,1.14525,0.01757,0.00109654,0.00109654,0.00109654
49,1284.57,0.82709,0.65905,1.43059,0.05606,0.97351,0.94147,0.98269,0.82002,0.58446,0.40072,1.18242,0.02152,0.00108947,0.00108947,0.00108947
50,1308.05,0.80045,0.61302,1.37811,0.05521,0.95299,0.95745,0.9839,0.84169,0.55586,0.38433,1.19393,0.01925,0.0010824,0.0010824,0.0010824
51,1332.02,0.79274,0.61464,1.39209,0.05361,0.96389,0.94354,0.98077,0.82083,0.55873,0.37971,1.19636,0.01672,0.00107532,0.00107532,0.00107532
52,1358.52,0.81903,0.68355,1.42568,0.05945,0.97873,0.92873,0.97305,0.8002,0.56104,0.40528,1.20571,0.02335,0.00106825,0.00106825,0.00106825
53,1384.69,0.80428,0.63169,1.43266,0.05476,0.98188,0.92621,0.97401,0.8375,0.51254,0.39886,1.14648,0.02095,0.00106118,0.00106118,0.00106118
54,1409.08,0.79253,0.63612,1.3767,0.05377,0.96892,0.92784,0.97839,0.82166,0.54464,0.42566,1.14749,0.02135,0.0010541,0.0010541,0.0010541
55,1432.73,0.76801,0.63701,1.34623,0.04639,0.96157,0.95486,0.9818,0.85049,0.52672,0.35804,1.17129,0.01876,0.00104703,0.00104703,0.00104703
56,1457.58,0.79571,0.64972,1.37932,0.05661,0.96098,0.93711,0.97491,0.85159,0.52607,0.37991,1.14736,0.02004,0.00103995,0.00103995,0.00103995
57,1482.51,0.79582,0.66403,1.37832,0.05359,0.95984,0.9361,0.97382,0.84807,0.53274,0.4006,1.14768,0.01642,0.00103288,0.00103288,0.00103288
58,1508.63,0.77554,0.6187,1.38199,0.05365,0.96165,0.95323,0.97655,0.83857,0.5092,0.37932,1.16625,0.01587,0.00102581,0.00102581,0.00102581
59,1540.75,0.74823,0.59984,1.34925,0.04954,0.94466,0.94495,0.97084,0.8702,0.49044,0.39322,1.14058,0.01479,0.00101873,0.00101873,0.00101873
60,1576.33,0.77195,0.62523,1.37877,0.04414,0.96088,0.9079,0.96469,0.8405,0.51527,0.41012,1.17399,0.01606,0.00101166,0.00101166,0.00101166
61,1617.68,0.79447,0.64573,1.3822,0.05396,0.96618,0.8722,0.95411,0.81775,0.54507,0.40796,1.19606,0.01966,0.00100459,0.00100459,0.00100459
62,1648.93,0.78818,0.64496,1.36711,0.04994,0.95606,0.87883,0.95979,0.82996,0.52709,0.40706,1.14619,0.01928,0.000997513,0.000997513,0.000997513
63,1669.43,0.7534,0.59905,1.35246,0.05134,0.95585,0.90622,0.96155,0.83245,0.51891,0.38724,1.15559,0.02119,0.00099044,0.00099044,0.00099044
64,1706.07,0.77178,0.61947,1.36821,0.05612,0.9826,0.85207,0.9334,0.81837,0.51901,0.42554,1.15254,0.02008,0.000983366,0.000983366,0.000983366
65,1744.67,0.78436,0.61673,1.37952,0.05128,0.985,0.86048,0.95531,0.86108,0.46399,0.3962,1.12768,0.01752,0.000976293,0.000976293,0.000976293
66,1782.21,0.76822,0.59396,1.36578,0.05453,0.97294,0.86482,0.94069,0.83426,0.46243,0.38974,1.12249,0.01996,0.000969219,0.000969219,0.000969219
67,1822.21,0.73371,0.55279,1.31898,0.04584,0.97662,0.84487,0.92406,0.80631,0.52067,0.43076,1.16236,0.02076,0.000962146,0.000962146,0.000962146
68,1862.17,0.73886,0.5884,1.33665,0.04917,0.98412,0.87434,0.94866,0.83427,0.50487,0.38866,1.13871,0.01856,0.000955072,0.000955072,0.000955072
69,1902.35,0.73038,0.59475,1.3314,0.04813,0.92247,0.94784,0.97591,0.85547,0.49239,0.36306,1.14755,0.01486,0.000947999,0.000947999,0.000947999
70,1928.52,0.76808,0.60412,1.36163,0.05302,0.97327,0.90777,0.96962,0.84842,0.48658,0.35111,1.12587,0.02053,0.000940925,0.000940925,0.000940925
71,1960.4,0.75421,0.59054,1.33787,0.04034,0.96219,0.87758,0.95778,0.8246,0.50361,0.38592,1.12498,0.01567,0.000933851,0.000933851,0.000933851
72,1993.91,0.72697,0.60203,1.30084,0.04332,0.96055,0.89965,0.96755,0.86475,0.45575,0.38737,1.12449,0.0173,0.000926778,0.000926778,0.000926778
73,2024.3,0.73451,0.5973,1.32627,0.04491,0.96708,0.9456,0.97522,0.85484,0.45647,0.34491,1.11588,0.01267,0.000919704,0.000919704,0.000919704
