epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.124,1.95608,3.21581,2.50398,0.16504,0.77502,0.40171,0.42995,0.31935,1.27869,2.28222,1.82029,0.12942,0.000470379,0.000470379,0.000470379
2,27.9171,1.3971,1.94209,1.81468,0.1268,0.91007,0.57605,0.77041,0.53729,1.00998,1.45634,1.62289,0.06412,0.000942026,0.000942026,0.000942026
3,39.4208,1.19342,1.48578,1.68564,0.09007,0.80357,0.87834,0.88681,0.64454,0.91033,1.21943,1.45418,0.09098,0.00140896,0.00140896,0.00140896
4,52.8295,1.05736,1.18577,1.60122,0.07353,0.80332,0.91842,0.95547,0.73464,0.75734,0.9873,1.36125,0.04734,0.00140778,0.00140778,0.00140778
5,63.2617,1.00658,1.05809,1.54383,0.06254,0.9031,0.89804,0.95921,0.78799,0.6843,0.83401,1.32047,0.04133,0.00140071,0.00140071,0.00140071
6,76.0429,0.91311,0.90058,1.51668,0.05273,0.9093,0.94768,0.96648,0.80516,0.71939,0.71114,1.33805,0.04145,0.00139363,0.00139363,0.00139363
7,87.5882,0.88125,0.86717,1.50814,0.05022,0.94057,0.9595,0.97564,0.78867,0.6645,0.62454,1.26276,0.04263,0.00138656,0.00138656,0.00138656
8,100.172,0.81673,0.78261,1.44611,0.04647,0.93581,0.96048,0.97435,0.81776,0.57193,0.55719,1.18784,0.04138,0.00137949,0.00137949,0.00137949
9,113.051,0.78344,0.73653,1.42889,0.04617,0.91079,0.95609,0.97301,0.80731,0.60368,0.55558,1.21191,0.03821,0.00137241,0.00137241,0.00137241
10,125.693,0.77924,0.71579,1.40256,0.04188,0.94604,0.95051,0.96349,0.81106,0.56164,0.55251,1.16563,0.03393,0.00136534,0.00136534,0.00136534
11,137.428,0.73299,0.66229,1.36381,0.03623,0.9501,0.94925,0.96446,0.8143,0.58455,0.52394,1.19489,0.03329,0.00135826,0.00135826,0.00135826
12,149.494,0.7353,0.64886,1.33716,0.03842,0.942,0.96814,0.97192,0.81498,0.58841,0.50484,1.13207,0.03376,0.00135119,0.00135119,0.00135119
13,160.636,0.68977,0.6058,1.31351,0.0346,0.93523,0.96665,0.9841,0.83906,0.56812,0.48243,1.14966,0.02655,0.00134412,0.00134412,0.00134412
14,173.259,0.71102,0.61587,1.31453,0.03231,0.94234,0.9676,0.98096,0.8472,0.52404,0.4791,1.11027,0.02779,0.00133704,0.00133704,0.00133704
15,184.742,0.65805,0.577,1.27701,0.02971,0.94609,0.97378,0.97211,0.84702,0.53464,0.47835,1.13877,0.02484,0.00132997,0.00132997,0.00132997
16,197.003,0.68164,0.57635,1.31067,0.03644,0.94899,0.9533,0.96818,0.84128,0.54472,0.45458,1.11383,0.0234,0.0013229,0.0013229,0.0013229
17,209.631,0.64524,0.5592,1.27431,0.02903,0.9327,0.97818,0.96722,0.83065,0.55884,0.46674,1.16046,0.02744,0.00131582,0.00131582,0.00131582
18,223.236,0.64603,0.53771,1.26875,0.02817,0.94728,0.9805,0.9715,0.84887,0.54491,0.44598,1.11406,0.02625,0.00130875,0.00130875,0.00130875
19,237.15,0.61506,0.52761,1.2429,0.02429,0.95063,0.97313,0.97185,0.87219,0.49741,0.43415,1.11004,0.02285,0.00130168,0.00130168,0.00130168
20,250.154,0.61461,0.52161,1.24659,0.02772,0.92483,0.99582,0.97652,0.87408,0.50542,0.42437,1.10865,0.01925,0.0012946,0.0012946,0.0012946
21,263.313,0.61168,0.51467,1.26125,0.02929,0.93315,0.97285,0.97972,0.86502,0.49233,0.41306,1.08704,0.01853,0.00128753,0.00128753,0.00128753
22,276.108,0.6114,0.52771,1.26284,0.02644,0.95629,0.96977,0.96954,0.85591,0.48232,0.39725,1.09277,0.02083,0.00128046,0.00128046,0.00128046
23,289.773,0.60108,0.50618,1.25846,0.02562,0.9562,0.97316,0.96922,0.84237,0.50321,0.41199,1.10729,0.0202,0.00127338,0.00127338,0.00127338
24,303.242,0.5897,0.50708,1.22798,0.02355,0.92665,0.98022,0.97411,0.87061,0.46678,0.41459,1.10596,0.01797,0.00126631,0.00126631,0.00126631
