epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80836,2.19901,3.55534,2.87348,0.18482,0.04425,0.38835,0.06101,0.02781,1.56825,3.05662,2.10325,0.13629,0.000464425,0.000464425,0.000464425
2,13.5545,1.65232,2.68396,2.25767,0.12918,0.66885,0.13592,0.1598,0.11042,1.30321,2.70554,1.82143,0.13212,0.000936102,0.000936102,0.000936102
3,18.2269,1.55039,2.1824,1.98443,0.14381,0.87036,0.27184,0.34102,0.21165,1.57716,2.69896,2.01183,0.13821,0.00140306,0.00140306,0.00140306
4,24.8717,1.48013,1.87252,1.84908,0.11969,0.55153,0.45168,0.51534,0.34919,1.16873,1.61584,1.77963,0.08645,0.00140778,0.00140778,0.00140778
5,31.5199,1.27962,1.552,1.7594,0.12545,0.53819,0.50993,0.51396,0.37955,1.14033,1.55857,1.76531,0.0951,0.00140071,0.00140071,0.00140071
6,36.2334,1.20696,1.37184,1.72741,0.10909,0.50021,0.55207,0.51536,0.37294,1.21063,1.44958,1.74896,0.09822,0.00139363,0.00139363,0.00139363
7,41.4327,1.14852,1.23986,1.62748,0.08737,0.98279,0.42718,0.47969,0.35846,1.16171,1.56117,1.65875,0.07028,0.00138656,0.00138656,0.00138656
8,46.9454,1.06911,1.1415,1.66714,0.06413,0.49733,0.48389,0.50444,0.38955,0.97368,1.20045,1.52862,0.10893,0.00137949,0.00137949,0.00137949
9,53.3403,1.03467,1.04752,1.59133,0.06568,0.45741,0.54391,0.49858,0.37371,1.06097,1.17968,1.61999,0.09781,0.00137241,0.00137241,0.00137241
10,58.524,1.03385,1.03619,1.64277,0.06545,0.49172,0.49691,0.4987,0.39922,1.0636,1.20493,1.69661,0.08293,0.00136534,0.00136534,0.00136534
11,64.7508,0.92376,0.9656,1.55347,0.05444,0.47636,0.4872,0.49434,0.39672,0.96954,1.03727,1.56732,0.06939,0.00135826,0.00135826,0.00135826
12,70.4363,0.97635,0.92942,1.58344,0.04225,0.56055,0.47264,0.49858,0.38757,1.0782,1.02933,1.66864,0.07106,0.00135119,0.00135119,0.00135119
13,75.8083,0.9411,0.92648,1.52437,0.04325,0.56714,0.47264,0.49837,0.41237,0.90071,0.926,1.54388,0.06512,0.00134412,0.00134412,0.00134412
14,81.3821,0.89915,0.8989,1.49908,0.04536,0.59761,0.47264,0.4969,0.3951,0.96257,1.0163,1.50544,0.06124,0.00133704,0.00133704,0.00133704
15,86.5304,0.88341,0.86362,1.50871,0.04003,0.65373,0.47264,0.50424,0.40584,0.92591,1.03735,1.48168,0.06034,0.00132997,0.00132997,0.00132997
16,92.597,0.77297,0.76961,1.38974,0.03652,0.66094,0.4768,0.5121,0.4277,0.90084,1.02647,1.53114,0.06202,0.0013229,0.0013229,0.0013229
17,99.8995,0.80627,0.76056,1.44284,0.03935,0.65416,0.47502,0.52265,0.42382,0.92247,1.03096,1.52263,0.06588,0.00131582,0.00131582,0.00131582
18,107.064,0.76986,0.74556,1.44572,0.03281,0.93509,0.47264,0.54138,0.44297,0.84392,1.05554,1.45613,0.07098,0.00130875,0.00130875,0.00130875
19,112.904,0.76741,0.73444,1.37919,0.03571,0.94132,0.47656,0.54526,0.45255,0.80492,1.08098,1.40542,0.07581,0.00130168,0.00130168,0.00130168
20,118.771,0.71669,0.71417,1.34967,0.02876,0.93696,0.47442,0.5393,0.47518,0.81395,0.93869,1.45423,0.06533,0.0012946,0.0012946,0.0012946
21,124.632,0.71903,0.6947,1.35958,0.03225,0.95311,0.47404,0.53972,0.46861,0.78674,0.92412,1.41285,0.06245,0.00128753,0.00128753,0.00128753
22,131.443,0.73547,0.67331,1.35074,0.02957,0.96537,0.47264,0.54448,0.46659,0.74726,0.93371,1.35489,0.06378,0.00128046,0.00128046,0.00128046
23,137.266,0.73299,0.67955,1.3521,0.03639,0.92968,0.49872,0.55428,0.46786,0.76524,0.89069,1.36343,0.05859,0.00127338,0.00127338,0.00127338
24,143.259,0.70721,0.66208,1.35038,0.0292,0.74707,0.47264,0.53889,0.46613,0.78535,0.8292,1.40162,0.06619,0.00126631,0.00126631,0.00126631
25,149.226,0.67462,0.61397,1.33272,0.03013,0.64441,0.47264,0.53406,0.4648,0.79032,0.78445,1.43299,0.06415,0.00125923,0.00125923,0.00125923
26,155.056,0.65415,0.60011,1.3019,0.02797,0.60798,0.47348,0.53504,0.47482,0.73395,0.80527,1.38948,0.05763,0.00125216,0.00125216,0.00125216
27,161.796,0.69074,0.61387,1.32866,0.03194,0.56331,0.48235,0.51051,0.45333,0.70477,0.85556,1.33385,0.0535,0.00124509,0.00124509,0.00124509
28,168.25,0.65358,0.58326,1.31418,0.02733,0.52825,0.49206,0.50632,0.45008,0.65475,0.88149,1.28482,0.05003,0.00123801,0.00123801,0.00123801
29,174.02,0.61253,0.54899,1.27872,0.02517,0.56946,0.4872,0.50981,0.44649,0.68267,0.87484,1.3202,0.05292,0.00123094,0.00123094,0.00123094
30,179.808,0.64104,0.55635,1.32723,0.02915,0.6664,0.47684,0.52948,0.44603,0.6776,0.91418,1.31944,0.05071,0.00122387,0.00122387,0.00122387
31,186.675,0.60756,0.53231,1.277,0.02969,0.78948,0.48235,0.53316,0.4514,0.66342,0.96198,1.30725,0.04976,0.00121679,0.00121679,0.00121679
32,192.439,0.61011,0.54616,1.3137,0.02976,0.95887,0.48235,0.54272,0.46381,0.63914,0.96827,1.26944,0.04307,0.00120972,0.00120972,0.00120972
33,199.003,0.59209,0.5239,1.26656,0.02382,0.96747,0.47673,0.55073,0.45699,0.65683,0.93117,1.27994,0.0492,0.00120265,0.00120265,0.00120265
34,204.675,0.59884,0.53957,1.27085,0.0256,0.96534,0.47641,0.54539,0.46557,0.67481,0.93028,1.29594,0.05332,0.00119557,0.00119557,0.00119557
35,209.992,0.56601,0.50114,1.24316,0.0241,0.96603,0.47749,0.54373,0.46271,0.66833,0.934,1.28715,0.05099,0.0011885,0.0011885,0.0011885
36,215.501,0.57926,0.50074,1.25583,0.02305,0.71314,0.48001,0.53262,0.4522,0.70527,0.89838,1.32461,0.05247,0.00118143,0.00118143,0.00118143
37,222.999,0.59412,0.51794,1.24506,0.0226,0.68744,0.49004,0.53001,0.45234,0.71443,0.9191,1.31099,0.05688,0.00117435,0.00117435,0.00117435
38,228.741,0.59635,0.51506,1.26346,0.02182,0.65294,0.49625,0.53306,0.46454,0.66748,0.946,1.27846,0.0609,0.00116728,0.00116728,0.00116728
39,234.873,0.58044,0.49633,1.2608,0.02296,0.66223,0.50177,0.53541,0.47067,0.688,0.93123,1.29025,0.06722,0.00116021,0.00116021,0.00116021
40,240.637,0.52463,0.48652,1.22542,0.01841,0.55015,0.5342,0.54225,0.46718,0.68443,0.90944,1.32384,0.05655,0.00115313,0.00115313,0.00115313
